Treatment,Test,Species,Canker.Area
Erie,Endo,Red,87.9645943
University Park,Endo,Red,692.7211801
University Park,Endo,Red,328.2964323
University Park Control,Endo,Red,56.54866776
Maryland,Endo,Red,461.8141201
Erie Control,Endo,Red,119.3805208
Erie Control,Endo,Red,38.48451001
Erie Control,Endo,Red,81.68140899
Maryland Control,Endo,Red,82.46680716
University Park,Endo,Red,424.1150082
Erie,Endo,Red,100.5309649
Erie,Endo,Red,138.2300768
Maryland,Endo,Red,113.0973355
Maryland,Endo,Red,100.5309649
Maryland Control,Endo,Red,38.48451001
Maryland Control,Endo,Red,157.0796327
Maryland,Endo,Red,198.7057353
Maryland Control,Endo,Red,100.5309649
University Park,Endo,Red,235.619449
Maryland Control,Endo,Red,82.46680716
University Park Control,Endo,Red,49.48008429
Erie Control,Endo,Red,37.69911184
Erie Control,Endo,Red,62.83185307
Erie,Endo,Red,208.9159115
Erie,Endo,Red,736.7034773
Maryland Control,Endo,Red,54.97787144
Maryland,Endo,Red,188.4955592
University Park Control,Endo,Red,43.98229715
Maryland,Endo,Red,87.9645943
University Park Control,Endo,Red,38.48451001
University Park,Endo,Red,94.24777961
Erie,Endo,Red,274.8893572
University Park,Endo,Red,369.1371368
University Park Control,Endo,Red,233.2632545
University Park Control,Endo,Red,70.68583471
Erie Control,Endo,Red,540.3539364
Erie,Endo,Pin,106.0287521
University Park,Endo,Pin,43.98229715
University Park,Endo,Pin,243.4734307
University Park Control,Endo,Pin,47.1238898
Maryland,Endo,Pin,84.82300165
Erie Control,Endo,Pin,43.98229715
Erie Control,Endo,Pin,37.69911184
Erie Control,Endo,Pin,32.98672286
Maryland Control,Endo,Pin,32.98672286
University Park,Endo,Pin,62.83185307
Erie,Endo,Pin,49.48008429
Erie,Endo,Pin,32.98672286
Maryland,Endo,Pin,60.47565858
Maryland,Endo,Pin,60.47565858
Maryland Control,Endo,Pin,69.11503838
Maryland Control,Endo,Pin,32.98672286
Maryland,Endo,Pin,84.82300165
Maryland Control,Endo,Pin,204.2035225
University Park,Endo,Pin,62.83185307
Maryland Control,Endo,Pin,207.3451151
University Park Control,Endo,Pin,37.69911184
Erie Control,Endo,Pin,133.5176878
Erie Control,Endo,Pin,37.69911184
Erie,Endo,Pin,120.9513172
Erie,Endo,Pin,164.9336143
Maryland Control,Endo,Pin,590.6194189
Maryland,Endo,Pin,60.47565858
University Park Control,Endo,Pin,37.69911184
Maryland,Endo,Pin,47.1238898
University Park Control,Endo,Pin,32.98672286
University Park,Endo,Pin,235.619449
Erie,Endo,Pin,400.5530633
University Park,Endo,Pin,104.4579557
University Park Control,Endo,Pin,38.48451001
University Park Control,Endo,Pin,307.8760801
Erie Control,Endo,Pin,81.68140899
Erie,Endo,White,388.7720909
University Park,Endo,White,251.3274123
University Park,Endo,White,94.24777961
University Park Control,Endo,White,98.17477042
Maryland,Endo,White,56.54866776
Erie Control,Endo,White,43.98229715
Erie Control,Endo,White,62.83185307
Erie Control,Endo,White,42.41150082
Maryland Control,Endo,White,69.11503838
University Park,Endo,White,69.11503838
Erie,Endo,White,60.47565858
Erie,Endo,White,207.3451151
Maryland,Endo,White,49.48008429
Maryland,Endo,White,56.54866776
Maryland Control,Endo,White,38.48451001
Maryland Control,Endo,White,62.83185307
Maryland,Endo,White,54.97787144
Maryland Control,Endo,White,32.98672286
University Park,Endo,White,94.24777961
Maryland Control,Endo,White,78.53981634
University Park Control,Endo,White,37.69911184
Erie Control,Endo,White,628.3185307
Erie Control,Endo,White,38.48451001
Erie,Endo,White,98.96016859
Erie,Endo,White,37.69911184
Maryland Control,Endo,White,119.3805208
Maryland,Endo,White,149.225651
University Park Control,Endo,White,43.98229715
Maryland,Endo,White,56.54866776
University Park Control,Endo,White,54.97787144
University Park,Endo,White,50.26548246
Erie,Endo,White,126.4491043
University Park,Endo,White,84.82300165
University Park Control,Endo,White,196.3495408
University Park Control,Endo,White,714.7123287
Erie Control,Endo,White,43.98229715
Erie,Endo,Beech,43.98229715
University Park,Endo,Beech,78.53981634
University Park,Endo,Beech,424.1150082
University Park Control,Endo,Beech,424.1150082
Maryland,Endo,Beech,194.7787445
Erie Control,Endo,Beech,172.7875959
Erie Control,Endo,Beech,125.6637061
Erie Control,Endo,Beech,32.98672286
Maryland Control,Endo,Beech,56.54866776
University Park,Endo,Beech,235.619449
Erie,Endo,Beech,38.48451001
Erie,Endo,Beech,98.96016859
Maryland,Endo,Beech,227.7654674
Maryland,Endo,Beech,311.0176727
Maryland Control,Endo,Beech,91.89158512
Maryland Control,Endo,Beech,180.6415776
Maryland,Endo,Beech,134.3030859
Maryland Control,Endo,Beech,28.27433388
University Park,Endo,Beech,413.9048321
Maryland Control,Endo,Beech,69.11503838
University Park Control,Endo,Beech,176.7145868
Erie Control,Endo,Beech,925.1990365
Erie Control,Endo,Beech,43.98229715
Erie,Endo,Beech,275.6747554
Erie,Endo,Beech,71.47123287
Maryland Control,Endo,Beech,311.0176727
Maryland,Endo,Beech,138.2300768
University Park Control,Endo,Beech,84.82300165
Maryland,Endo,Beech,376.9911184
University Park Control,Endo,Beech,70.68583471
University Park,Endo,Beech,71.47123287
Erie,Endo,Beech,43.98229715
University Park,Endo,Beech,54.97787144
University Park Control,Endo,Beech,38.48451001
University Park Control,Endo,Beech,571.769863
Erie Control,Endo,Beech,180.6415776
Erie,Endo,American,155.5088364
University Park,Endo,American,400.5530633
University Park,Endo,American,398.1968688
University Park Control,Endo,American,70.68583471
Maryland,Endo,American,69.11503838
Erie Control,Endo,American,275.6747554
Erie Control,Endo,American,172.7875959
Erie Control,Endo,American,27.48893572
Maryland Control,Endo,American,
University Park,Endo,American,1021.017612
Erie,Endo,American,37.69911184
Erie,Endo,American,467.3119072
Maryland,Endo,American,320.4424507
Maryland,Endo,American,141.3716694
Maryland Control,Endo,American,32.98672286
Maryland Control,Endo,American,133.5176878
Maryland,Endo,American,226.1946711
Maryland Control,Endo,American,43.98229715
University Park,Endo,American,113.0973355
Maryland Control,Endo,American,37.69911184
University Park Control,Endo,American,38.48451001
Erie Control,Endo,American,32.98672286
Erie Control,Endo,American,69.11503838
Erie,Endo,American,62.83185307
Erie,Endo,American,857.6547944
Maryland Control,Endo,American,62.83185307
Maryland,Endo,American,607.8981785
University Park Control,Endo,American,43.98229715
Maryland,Endo,American,816.8140899
University Park Control,Endo,American,32.98672286
University Park,Endo,American,942.4777961
Erie,Endo,American,38.48451001
University Park,Endo,American,1209.513172
University Park Control,Endo,American,169.6460033
University Park Control,Endo,American,38.48451001
Erie Control,Endo,American,43.98229715
Erie,Endo,Chinese,94.24777961
University Park,Endo,Chinese,1138.827337
University Park,Endo,Chinese,62.83185307
University Park Control,Endo,Chinese,54.97787144
Maryland,Endo,Chinese,87.9645943
Erie Control,Endo,Chinese,65.97344573
Erie Control,Endo,Chinese,100.5309649
Erie Control,Endo,Chinese,56.54866776
Maryland Control,Endo,Chinese,76.96902001
University Park,Endo,Chinese,874.1481559
Erie,Endo,Chinese,2002.765317
Erie,Endo,Chinese,56.54866776
Maryland,Endo,Chinese,51.83627878
Maryland,Endo,Chinese,69.11503838
Maryland Control,Endo,Chinese,520.7189823
Maryland Control,Endo,Chinese,2238.384766
Maryland,Endo,Chinese,43.98229715
Maryland Control,Endo,Chinese,38.48451001
University Park,Endo,Chinese,486.9468613
Maryland Control,Endo,Chinese,94.24777961
University Park Control,Endo,Chinese,42.41150082
Erie Control,Endo,Chinese,49.48008429
Erie Control,Endo,Chinese,32.98672286
Erie,Endo,Chinese,54.97787144
Erie,Endo,Chinese,2709.623664
Maryland Control,Endo,Chinese,62.83185307
Maryland,Endo,Chinese,119.3805208
University Park Control,Endo,Chinese,56.54866776
Maryland,Endo,Chinese,65.97344573
University Park Control,Endo,Chinese,49.48008429
University Park,Endo,Chinese,49.48008429
Erie,Endo,Chinese,351.8583772
University Park,Endo,Chinese,62.83185307
University Park Control,Endo,Chinese,38.48451001
University Park Control,Endo,Chinese,60.47565858
Erie Control,Endo,Chinese,196.3495408
Erie,Endo,Hybrid,122.5221135
University Park,Endo,Hybrid,43.98229715
University Park,Endo,Hybrid,69.11503838
University Park Control,Endo,Hybrid,100.5309649
Maryland,Endo,Hybrid,127.2345025
Erie Control,Endo,Hybrid,38.48451001
Erie Control,Endo,Hybrid,70.68583471
Erie Control,Endo,Hybrid,37.69911184
Maryland Control,Endo,Hybrid,38.48451001
University Park,Endo,Hybrid,65.97344573
Erie,Endo,Hybrid,32.98672286
Erie,Endo,Hybrid,60.47565858
Maryland,Endo,Hybrid,77.75441818
Maryland,Endo,Hybrid,32.98672286
Maryland Control,Endo,Hybrid,75.39822369
Maryland Control,Endo,Hybrid,38.48451001
Maryland,Endo,Hybrid,43.98229715
Maryland Control,Endo,Hybrid,43.98229715
University Park,Endo,Hybrid,197.9203372
Maryland Control,Endo,Hybrid,181.4269757
University Park Control,Endo,Hybrid,38.48451001
Erie Control,Endo,Hybrid,38.48451001
Erie Control,Endo,Hybrid,333.7942194
Erie,Endo,Hybrid,84.82300165
Erie,Endo,Hybrid,507.3672136
Maryland Control,Endo,Hybrid,75.39822369
Maryland,Endo,Hybrid,204.2035225
University Park Control,Endo,Hybrid,43.98229715
Maryland,Endo,Hybrid,565.4866776
University Park Control,Endo,Hybrid,60.47565858
University Park,Endo,Hybrid,54.97787144
Erie,Endo,Hybrid,38.48451001
University Park,Endo,Hybrid,38.48451001
University Park Control,Endo,Hybrid,84.82300165
University Park Control,Endo,Hybrid,43.98229715
Erie Control,Endo,Hybrid,38.48451001
Erie,Eco,Red,93.46238144
Erie,Eco,Red,65.97344573
Erie,Eco,Red,32.98672286
Erie,Eco,Red,1374.446786
Erie,Eco,Red,28.27433388
Erie,Eco,Red,367.5663405
Erie Control,Eco,Red,612.6105675
Erie Control,Eco,Red,54.97787144
Erie Control,Eco,Red,54.97787144
Erie Control,Eco,Red,87.9645943
Erie Control,Eco,Red,81.68140899
Erie Control,Eco,Red,23.5619449
Maryland,Eco,Red,259.1813939
Maryland,Eco,Red,82.46680716
Maryland,Eco,Red,38.48451001
Maryland,Eco,Red,204.2035225
Maryland,Eco,Red,417.8318229
Maryland,Eco,Red,94.24777961
Maryland Control,Eco,Red,28.27433388
Maryland Control,Eco,Red,23.5619449
Maryland Control,Eco,Red,65.97344573
Maryland Control,Eco,Red,28.27433388
Maryland Control,Eco,Red,62.83185307
Maryland Control,Eco,Red,49.48008429
University Park,Eco,Red,172.7875959
University Park,Eco,Red,530.1437603
University Park,Eco,Red,82.46680716
University Park,Eco,Red,62.83185307
University Park,Eco,Red,603.1857895
University Park,Eco,Red,62.83185307
University Park Control,Eco,Red,42.41150082
University Park Control,Eco,Red,106.8141502
University Park Control,Eco,Red,75.39822369
University Park Control,Eco,Red,28.27433388
University Park Control,Eco,Red,28.27433388
University Park Control,Eco,Red,28.27433388
Erie,Eco,Pin,32.98672286
Erie,Eco,Pin,37.69911184
Erie,Eco,Pin,28.27433388
Erie,Eco,Pin,98.96016859
Erie,Eco,Pin,28.27433388
Erie,Eco,Pin,23.5619449
Erie Control,Eco,Pin,230.90706
Erie Control,Eco,Pin,87.9645943
Erie Control,Eco,Pin,94.24777961
Erie Control,Eco,Pin,113.0973355
Erie Control,Eco,Pin,197.9203372
Erie Control,Eco,Pin,28.27433388
Maryland,Eco,Pin,27.48893572
Maryland,Eco,Pin,1021.017612
Maryland,Eco,Pin,357.3561643
Maryland,Eco,Pin,87.9645943
Maryland,Eco,Pin,38.48451001
Maryland,Eco,Pin,75.39822369
Maryland Control,Eco,Pin,47.1238898
Maryland Control,Eco,Pin,138.2300768
Maryland Control,Eco,Pin,172.7875959
Maryland Control,Eco,Pin,219.1260876
Maryland Control,Eco,Pin,78.53981634
Maryland Control,Eco,Pin,94.24777961
University Park,Eco,Pin,42.41150082
University Park,Eco,Pin,28.27433388
University Park,Eco,Pin,65.97344573
University Park,Eco,Pin,577.2676501
University Park,Eco,Pin,81.68140899
University Park,Eco,Pin,77.75441818
University Park Control,Eco,Pin,384.8451001
University Park Control,Eco,Pin,77.75441818
University Park Control,Eco,Pin,235.619449
University Park Control,Eco,Pin,
University Park Control,Eco,Pin,223.8384766
University Park Control,Eco,Pin,103.6725576
Erie,Eco,White,82.46680716
Erie,Eco,White,43.98229715
Erie,Eco,White,81.68140899
Erie,Eco,White,38.48451001
Erie,Eco,White,84.82300165
Erie,Eco,White,62.83185307
Erie Control,Eco,White,201.0619298
Erie Control,Eco,White,23.5619449
Erie Control,Eco,White,141.3716694
Erie Control,Eco,White,43.98229715
Erie Control,Eco,White,23.5619449
Erie Control,Eco,White,179.0707813
Maryland,Eco,White,38.48451001
Maryland,Eco,White,32.98672286
Maryland,Eco,White,102.1017612
Maryland,Eco,White,37.69911184
Maryland,Eco,White,43.98229715
Maryland,Eco,White,38.48451001
Maryland Control,Eco,White,23.5619449
Maryland Control,Eco,White,32.98672286
Maryland Control,Eco,White,56.54866776
Maryland Control,Eco,White,28.27433388
Maryland Control,Eco,White,32.98672286
Maryland Control,Eco,White,43.98229715
University Park,Eco,White,65.97344573
University Park,Eco,White,268.6061719
University Park,Eco,White,54.97787144
University Park,Eco,White,37.69911184
University Park,Eco,White,28.27433388
University Park,Eco,White,62.83185307
University Park Control,Eco,White,388.7720909
University Park Control,Eco,White,28.27433388
University Park Control,Eco,White,28.27433388
University Park Control,Eco,White,23.5619449
University Park Control,Eco,White,414.6902303
University Park Control,Eco,White,23.5619449
Erie,Eco,Beech,298.4513021
Erie,Eco,Beech,19.63495408
Erie,Eco,Beech,28.27433388
Erie,Eco,Beech,28.27433388
Erie,Eco,Beech,345.5751919
Erie,Eco,Beech,895.3539063
Erie Control,Eco,Beech,197.9203372
Erie Control,Eco,Beech,270.1769682
Erie Control,Eco,Beech,552.920307
Erie Control,Eco,Beech,196.3495408
Erie Control,Eco,Beech,138.2300768
Erie Control,Eco,Beech,384.8451001
Maryland,Eco,Beech,127.2345025
Maryland,Eco,Beech,224.6238747
Maryland,Eco,Beech,49.48008429
Maryland,Eco,Beech,131.9468915
Maryland,Eco,Beech,71.47123287
Maryland,Eco,Beech,50.26548246
Maryland Control,Eco,Beech,32.98672286
Maryland Control,Eco,Beech,243.4734307
Maryland Control,Eco,Beech,219.1260876
Maryland Control,Eco,Beech,127.2345025
Maryland Control,Eco,Beech,527.7875658
Maryland Control,Eco,Beech,82.46680716
University Park,Eco,Beech,180.6415776
University Park,Eco,Beech,113.0973355
University Park,Eco,Beech,172.7875959
University Park,Eco,Beech,201.0619298
University Park,Eco,Beech,106.8141502
University Park,Eco,Beech,275.6747554
University Park Control,Eco,Beech,314.1592654
University Park Control,Eco,Beech,23.5619449
University Park Control,Eco,Beech,19.63495408
University Park Control,Eco,Beech,19.63495408
University Park Control,Eco,Beech,23.5619449
University Park Control,Eco,Beech,75.39822369
Erie,Eco,American,75.39822369
Erie,Eco,American,19.63495408
Erie,Eco,American,82.46680716
Erie,Eco,American,134.3030859
Erie,Eco,American,155.5088364
Erie,Eco,American,141.3716694
Erie Control,Eco,American,23.5619449
Erie Control,Eco,American,42.41150082
Erie Control,Eco,American,23.5619449
Erie Control,Eco,American,19.63495408
Erie Control,Eco,American,19.63495408
Erie Control,Eco,American,112.3119374
Maryland,Eco,American,438.2521752
Maryland,Eco,American,671.5154297
Maryland,Eco,American,520.7189823
Maryland,Eco,American,120.165919
Maryland,Eco,American,196.3495408
Maryland,Eco,American,148.4402529
Maryland Control,Eco,American,353.4291735
Maryland Control,Eco,American,19.63495408
Maryland Control,Eco,American,23.5619449
Maryland Control,Eco,American,19.63495408
Maryland Control,Eco,American,82.46680716
Maryland Control,Eco,American,28.27433388
University Park,Eco,American,87.9645943
University Park,Eco,American,502.6548246
University Park,Eco,American,113.0973355
University Park,Eco,American,76.96902001
University Park,Eco,American,274.8893572
University Park,Eco,American,71.47123287
University Park Control,Eco,American,42.41150082
University Park Control,Eco,American,19.63495408
University Park Control,Eco,American,28.27433388
