Treatment,Test,Species,Rank,,,,
Maryland,Nov,American,2,,,,
Maryland,Nov,American,2,,,,
University Park,Nov,American,3,,,,
University Park,Nov,American,3,,,,
University Park,Nov,American,1,,,,
Erie,Nov,American,1,,,,
Control,Nov,American,3,,,,
Maryland,Nov,American,2,,,,
Control,Nov,American,0,,,,
University Park,Nov,American,2,,,,
Control,Nov,American,0,,,,
University Park,Nov,American,4,,,,
Erie,Nov,American,2,,,,
University Park,Nov,American,3,,,,
Maryland,Nov,American,1,,,,
Erie,Nov,American,4,,,,
Erie,Nov,American,0,,,,
Erie,Nov,American,1,,,,
Control,Nov,American,0,,,,
Erie,Nov,American,0,,,,
University Park,Nov,American,1,,,,
Erie,Nov,American,0,,,,
Maryland,Nov,American,1,,,,
Erie,Nov,American,2,,,,
Erie,Nov,American,3,,,,
Erie,Nov,American,1,,,,
Control,Nov,American,0,,,,
University Park,Nov,American,2,,,,
Control,Nov,American,0,,,,
Maryland,Nov,American,1,,,,
Erie,Nov,American,4,,,,
Maryland,Nov,American,1,,,,
Maryland,Nov,American,1,,,,
Control,Nov,American,0,,,,
Control,Nov,American,3,,,,
Control,Nov,American,1,,,,
University Park,Nov,American,1,,,,
Maryland,Nov,American,1,,,,
Maryland,Nov,American,,,,,
Control,Nov,American,3,,,,
Control,Nov,American,0,,,,
University Park,Nov,American,1,,,,
University Park,Nov,American,0,,,,
Maryland,Nov,American,3,,,,
Maryland,Nov,Chinese,0,,,,
Maryland,Nov,Chinese,0,,,,
University Park,Nov,Chinese,2,,,,
University Park,Nov,Chinese,1,,,,
University Park,Nov,Chinese,1,,,,
Erie,Nov,Chinese,1,,,,
Control,Nov,Chinese,0,,,,
Maryland,Nov,Chinese,0,,,,
Control,Nov,Chinese,0,,,,
University Park,Nov,Chinese,0,,,,
Control,Nov,Chinese,0,,,,
University Park,Nov,Chinese,1,,,,
Erie,Nov,Chinese,1,,,,
University Park,Nov,Chinese,4,,,,
Maryland,Nov,Chinese,1,,,,
Erie,Nov,Chinese,1,,,,
Erie,Nov,Chinese,0,,,,
Erie,Nov,Chinese,1,,,,
Control,Nov,Chinese,0,,,,
Erie,Nov,Chinese,3,,,,
University Park,Nov,Chinese,0,,,,
Erie,Nov,Chinese,0,,,,
Maryland,Nov,Chinese,1,,,,
Erie,Nov,Chinese,1,,,,
Erie,Nov,Chinese,0,,,,
Erie,Nov,Chinese,1,,,,
Control,Nov,Chinese,0,,,,
University Park,Nov,Chinese,0,,,,
Control,Nov,Chinese,0,,,,
Maryland,Nov,Chinese,1,,,,
Erie,Nov,Chinese,0,,,,
Maryland,Nov,Chinese,4,,,,
Maryland,Nov,Chinese,1,,,,
Control,Nov,Chinese,1,,,,
Control,Nov,Chinese,1,,,,
Control,Nov,Chinese,1,,,,
University Park,Nov,Chinese,1,,,,
Maryland,Nov,Chinese,1,,,,
Maryland,Nov,Chinese,0,,,,
Control,Nov,Chinese,3,,,,
Control,Nov,Chinese,0,,,,
University Park,Nov,Chinese,0,,,,
University Park,Nov,Chinese,0,,,,
Maryland,Nov,Chinese,0,,,,
Maryland,Nov,Hybrid,1,,,,
Maryland,Nov,Hybrid,1,,,,
University Park,Nov,Hybrid,1,,,,
University Park,Nov,Hybrid,1,,,,
University Park,Nov,Hybrid,1,,,,
Erie,Nov,Hybrid,2,,,,
Control,Nov,Hybrid,1,,,,
Maryland,Nov,Hybrid,1,,,,
Control,Nov,Hybrid,0,,,,
University Park,Nov,Hybrid,1,,,,
Control,Nov,Hybrid,0,,,,
University Park,Nov,Hybrid,3,,,,
Erie,Nov,Hybrid,0,,,,
University Park,Nov,Hybrid,1,,,,
Maryland,Nov,Hybrid,0,,,,
Erie,Nov,Hybrid,0,,,,
Erie,Nov,Hybrid,3,,,,
Erie,Nov,Hybrid,2,,,,
Control,Nov,Hybrid,1,,,,
Erie,Nov,Hybrid,1,,,,
University Park,Nov,Hybrid,0,,,,
Erie,Nov,Hybrid,0,,,,
Maryland,Nov,Hybrid,1,,,,
Erie,Nov,Hybrid,1,,,,
Erie,Nov,Hybrid,1,,,,
Erie,Nov,Hybrid,1,,,,
Control,Nov,Hybrid,0,,,,
University Park,Nov,Hybrid,0,,,,
Control,Nov,Hybrid,1,,,,
Maryland,Nov,Hybrid,0,,,,
Erie,Nov,Hybrid,1,,,,
Maryland,Nov,Hybrid,1,,,,
Maryland,Nov,Hybrid,0,,,,
Control,Nov,Hybrid,1,,,,
Control,Nov,Hybrid,1,,,,
Control,Nov,Hybrid,1,,,,
University Park,Nov,Hybrid,0,,,,
Maryland,Nov,Hybrid,0,,,,
Maryland,Nov,Hybrid,0,,,,
Control,Nov,Hybrid,0,,,,
Control,Nov,Hybrid,0,,,,
University Park,Nov,Hybrid,0,,,,
University Park,Nov,Hybrid,1,,,,
Maryland,Nov,Hybrid,0,,,,
Control,Dec,American,3,,,,
Control,Dec,American,4,,,,
Control,Dec,American,3,,,,
Control,Dec,American,0,,,,
Control,Dec,American,0,,,,
Control,Dec,American,2,,,,
Control,Dec,American,0,,,,
Control,Dec,American,2,,,,
Control,Dec,American,0,,,,
Control,Dec,American,0,,,,
Control,Dec,American,1,,,,
Erie,Dec,American,2,,,,
Erie,Dec,American,1,,,,
Erie,Dec,American,4,,,,
Erie,Dec,American,2,,,,
Erie,Dec,American,1,,,,
Erie,Dec,American,1,,,,
Erie,Dec,American,0,,,,
Erie,Dec,American,3,,,,
Erie,Dec,American,2,,,,
Erie,Dec,American,4,,,,
Erie,Dec,American,1,,,,
Maryland,Dec,American,1,,,,
Maryland,Dec,American,3,,,,
Maryland,Dec,American,2,,,,
Maryland,Dec,American,3,,,,
Maryland,Dec,American,4,,,,
Maryland,Dec,American,2,,,,
Maryland,Dec,American,2,,,,
Maryland,Dec,American,1,,,,
Maryland,Dec,American,4,,,,
Maryland,Dec,American,3,,,,
Maryland,Dec,American,1,,,,
University Park,Dec,American,4,,,,
University Park,Dec,American,2,,,,
University Park,Dec,American,4,,,,
University Park,Dec,American,4,,,,
University Park,Dec,American,3,,,,
University Park,Dec,American,4,,,,
University Park,Dec,American,3,,,,
University Park,Dec,American,1,,,,
University Park,Dec,American,1,,,,
University Park,Dec,American,1,,,,
University Park,Dec,American,2,,,,
Control,Dec,Chinese,1,,,,
Control,Dec,Chinese,0,,,,
Control,Dec,Chinese,0,,,,
Control,Dec,Chinese,4,,,,
Control,Dec,Chinese,3,,,,
Control,Dec,Chinese,3,,,,
Control,Dec,Chinese,0,,,,
Control,Dec,Chinese,4,,,,
Control,Dec,Chinese,1,,,,
Control,Dec,Chinese,4,,,,
Control,Dec,Chinese,3,,,,
Erie,Dec,Chinese,0,,,,
Erie,Dec,Chinese,3,,,,
Erie,Dec,Chinese,1,,,,
Erie,Dec,Chinese,1,,,,
Erie,Dec,Chinese,3,,,,
Erie,Dec,Chinese,3,,,,
Erie,Dec,Chinese,2,,,,
Erie,Dec,Chinese,2,,,,
Erie,Dec,Chinese,1,,,,
Erie,Dec,Chinese,0,,,,
Erie,Dec,Chinese,1,,,,
Maryland,Dec,Chinese,0,,,,
Maryland,Dec,Chinese,0,,,,
Maryland,Dec,Chinese,4,,,,
Maryland,Dec,Chinese,2,,,,
Maryland,Dec,Chinese,1,,,,
Maryland,Dec,Chinese,1,,,,
Maryland,Dec,Chinese,0,,,,
Maryland,Dec,Chinese,4,,,,
Maryland,Dec,Chinese,4,,,,
Maryland,Dec,Chinese,3,,,,
Maryland,Dec,Chinese,4,,,,
University Park,Dec,Chinese,2,,,,
University Park,Dec,Chinese,0,,,,
University Park,Dec,Chinese,0,,,,
University Park,Dec,Chinese,3,,,,
University Park,Dec,Chinese,1,,,,
University Park,Dec,Chinese,1,,,,
University Park,Dec,Chinese,3,,,,
University Park,Dec,Chinese,0,,,,
University Park,Dec,Chinese,1,,,,
University Park,Dec,Chinese,4,,,,
University Park,Dec,Chinese,1,,,,
Control,Dec,Hybrid,1,,,,
Control,Dec,Hybrid,1,,,,
Control,Dec,Hybrid,4,,,,
Control,Dec,Hybrid,4,,,,
Control,Dec,Hybrid,2,,,,
Control,Dec,Hybrid,1,,,,
Control,Dec,Hybrid,3,,,,
Control,Dec,Hybrid,2,,,,
Control,Dec,Hybrid,1,,,,
Control,Dec,Hybrid,3,,,,
Control,Dec,Hybrid,2,,,,
Erie,Dec,Hybrid,4,,,,
Erie,Dec,Hybrid,1,,,,
Erie,Dec,Hybrid,1,,,,
Erie,Dec,Hybrid,0,,,,
Erie,Dec,Hybrid,4,,,,
Erie,Dec,Hybrid,2,,,,
Erie,Dec,Hybrid,2,,,,
Erie,Dec,Hybrid,3,,,,
Erie,Dec,Hybrid,0,,,,
Erie,Dec,Hybrid,4,,,,
Erie,Dec,Hybrid,1,,,,
Maryland,Dec,Hybrid,2,,,,
Maryland,Dec,Hybrid,4,,,,
Maryland,Dec,Hybrid,1,,,,
Maryland,Dec,Hybrid,2,,,,
Maryland,Dec,Hybrid,1,,,,
Maryland,Dec,Hybrid,2,,,,
Maryland,Dec,Hybrid,1,,,,
Maryland,Dec,Hybrid,3,,,,
Maryland,Dec,Hybrid,3,,,,
Maryland,Dec,Hybrid,3,,,,
Maryland,Dec,Hybrid,4,,,,
University Park,Dec,Hybrid,3,,,,
University Park,Dec,Hybrid,0,,,,
University Park,Dec,Hybrid,2,,,,
University Park,Dec,Hybrid,4,,,,
University Park,Dec,Hybrid,4,,,,
University Park,Dec,Hybrid,4,,,,
University Park,Dec,Hybrid,1,,,,
University Park,Dec,Hybrid,3,,,,
University Park,Dec,Hybrid,2,,,,
University Park,Dec,Hybrid,1,,,,
University Park,Dec,Hybrid,3,,,,
